pnu,floor,year_approval,area_exclusive,price
11305101001,10,2014,18.65,147000000.0
11110111001,1,1980,58.67,300000000.0
11110149001,1,1998,58.6,292000000.0
11110168001,1,1998,41.44,90000000.0
11110175001,1,1997,43.91,167000000.0
11110182001,1,1986,74.41,265000000.0
11110183001,1,1992,84.95,430000000.0
11110183001,1,1992,84.95,394000000.0
11110184001,1,1983,71.1,280000000.0
11170101001,1,2014,67.46,435000000.0
11170102001,1,1997,41.76,250000000.0
11170102001,1,1998,56.31,184000000.0
11170108001,1,1997,28.98,220000000.0
11170121001,1,2009,65.28,330000000.0
11170129001,1,1981,26.98,410000000.0
11170130001,1,1996,67.61,517000000.0
11170131001,1,1997,77.03,600000000.0
11170131001,1,1998,187.48,2350000000.0
11170132001,1,1989,42.69,720000000.0
11170132001,1,1997,221.23,1350000000.0
11170133001,1,1979,79.21,680000000.0
11170136001,1,1991,47.94,735000000.0
11200108001,1,1995,58.26,200000000.0
11200110001,1,1998,67.2,400000000.0
11200112001,1,1996,33.23,230000000.0
11200114001,1,1993,19.76,394000000.0
11200114001,1,1981,48.53,492000000.0
11200114001,1,1992,54.59,400000000.0
11200115001,1,2002,80.82,680000000.0
11200115001,1,1984,61.61,620000000.0
11215101001,1,1986,79.08,526000000.0
11215103001,1,1992,42.14,225000000.0
11215105001,1,1994,45.86,260000000.0
11215105001,1,2002,60.73,274000000.0
11230102001,1,1991,75.37,240000000.0
11230102001,1,1976,53.76,205000000.0
11230104001,1,1968,18.72,50000000.0
11230106001,1,1982,53.22,257500000.0
11230106001,1,1981,59.93,320000000.0
11230109001,1,1988,77.84,348000000.0
11230110001,1,1979,61.92,485000000.0
11230110001,1,1993,17.43,155000000.0
11230110001,1,1991,49.97,172000000.0
11230110001,1,1998,38.0,205000000.0
11230110001,1,1993,39.87,170000000.0
11260101001,1,1976,44.46,105000000.0
11260101001,1,1996,48.75,149000000.0
11260102001,1,2002,59.33,200000000.0
11260102001,1,1991,35.73,100000000.0
11260104001,1,1987,55.08,175000000.0
11260104001,1,1985,79.2,250000000.0
11260104001,1,1992,50.13,158000000.0
11260105001,1,1994,32.49,132000000.0
11290103001,1,2017,43.84,255000000.0
11290121001,1,2002,67.48,230000000.0
11290133001,1,2001,64.77,155000000.0
11290133001,1,2001,61.71,185000000.0
11290133001,1,2008,59.64,219000000.0
11290133001,1,1992,51.3,168500000.0
11290133001,1,2003,61.47,165000000.0
11290133001,1,1991,84.69,247000000.0
11290134001,1,1997,30.09,245100000.0
11290134001,1,1994,42.93,265720000.0
11290135001,1,2004,67.4,185000000.0
11290138001,1,1998,57.35,280000000.0
11290138001,1,1997,55.54,253000000.0
11290138001,1,1991,51.1,290000000.0
11290138001,1,1996,50.11,253000000.0
11290138001,1,1994,40.35,232000000.0
11290138001,1,2002,54.9,201000000.0
11290138001,1,1994,34.92,125000000.0
11290138001,1,1981,52.46,120000000.0
11290139001,1,1991,35.15,100000000.0
11305101001,1,1987,63.9,280000000.0
11305101001,1,1988,36.36,69000000.0
11305101001,1,1988,33.84,84000000.0
11305101001,1,2002,58.62,193000000.0
11305101001,1,1987,51.09,118000000.0
11305101001,1,1991,52.44,180000000.0
11305101001,1,1995,55.14,180000000.0
11305101001,1,2002,59.2,218000000.0
11305101001,1,2008,25.78,99000000.0
11305102001,1,1989,54.63,108000000.0
11305102001,1,1993,33.24,85000000.0
11305102001,1,1988,40.5,100000000.0
11305102001,1,2001,53.64,160000000.0
11305102001,1,1988,43.21,143000000.0
11305102001,1,1987,80.56,184000000.0
11305103001,1,1997,62.48,197000000.0
11305103001,1,1990,64.96,190000000.0
11305103001,1,1994,25.7,65000000.0
11305103001,1,1993,44.42,133000000.0
11305103001,1,2003,50.28,140000000.0
11305103001,1,1978,65.42,260000000.0
11305103001,1,1976,74.22,350000000.0
11305103001,1,1990,37.09,105000000.0
11305104001,1,1997,41.08,80000000.0
11320105001,1,1993,46.42,150000000.0
11320105001,1,1987,39.7,120000000.0
11320105001,1,1983,52.17,175000000.0
11320106001,1,1986,59.67,198000000.0
11320106001,1,2008,44.88,175000000.0
11320107001,1,2002,68.37,174000000.0
11320107001,1,1994,40.84,130000000.0
11320107001,1,1993,41.31,122000000.0
11320107001,1,1994,43.12,115000000.0
11320108001,1,1990,45.09,100000000.0
11350102001,1,1976,48.76,191250000.0
11350102001,1,1976,48.76,250000000.0
11350103001,1,1993,34.08,152000000.0
11350103001,1,2002,57.07,220000000.0
11350103001,1,2002,58.59,205000000.0
11350103001,1,1993,30.96,98000000.0
11350103001,1,1978,82.68,160000000.0
11350105001,1,1998,39.32,125000000.0
11350105001,1,1991,48.02,175000000.0
11350105001,1,1990,34.44,151000000.0
11350105001,1,1991,32.0,190000000.0
11350105001,1,1996,33.36,105000000.0
11350105001,1,1992,37.71,140000000.0
11350105001,1,1992,43.61,147500000.0
11350105001,1,1995,57.93,161500000.0
11350106001,1,2001,39.3,70500000.0
11350106001,1,2015,29.92,151000000.0
11380101001,1,1991,26.19,220000000.0
11380101001,1,1986,36.36,225000000.0
11380102001,1,1986,29.4,115000000.0
11380102001,1,2000,34.02,90000000.0
11380103001,1,1988,36.76,150000000.0
11380103001,1,1991,37.89,180000000.0
11380103001,1,2003,68.09,232000000.0
11380103001,1,2002,68.05,240000000.0
11380104001,1,1999,78.37,255000000.0
11380104001,1,1991,37.95,145000000.0
11380104001,1,1993,29.88,125000000.0
11380104001,1,1992,41.82,157000000.0
11380104001,1,2002,54.9,190000000.0
11380104001,1,1992,36.9,115000000.0
11380105001,1,1998,59.57,155000000.0
11380105001,1,1996,52.05,148800000.0
11380105001,1,1992,50.09,143000000.0
11380106001,1,1993,32.03,215000000.0
11380106001,1,1984,81.44,335000000.0
11380106001,1,2002,49.29,248000000.0
11380106001,1,2000,66.99,305000000.0
11380106001,1,1997,75.9,238000000.0
11380106001,1,1993,36.88,103000000.0
11380107001,1,1991,51.69,233720000.0
11380107001,1,1997,36.51,215650000.0
11380107001,1,1996,53.2,160000000.0
11380107001,1,1993,40.83,172500000.0
11380107001,1,1992,52.43,182500000.0
11380107001,1,2002,62.4,168000000.0
11380107001,1,1987,37.23,110000000.0
11380107001,1,2002,62.0,195000000.0
11380107001,1,2002,60.87,185000000.0
11380107001,1,1986,36.99,105000000.0
11380108001,1,2015,32.0,133000000.0
11380108001,1,2015,34.01,142000000.0
11380108001,1,1994,52.03,154000000.0
11380108001,1,2000,55.24,160000000.0
11380108001,1,1991,42.04,118000000.0
11380109001,1,1987,38.67,135000000.0
11410110001,1,2017,52.1,345000000.0
11410110001,1,2017,32.91,130000000.0
11410110001,1,1994,24.49,341000000.0
11410111001,1,1987,34.47,125000000.0
11410111001,1,1965,21.55,74500000.0
11410111001,1,1997,44.39,145000000.0
11410116001,1,2001,23.02,100000000.0
11410117001,1,2001,69.51,185000000.0
11410119001,1,1991,74.97,178000000.0
11410119001,1,1997,75.15,212000000.0
11410119001,1,1995,51.17,129000000.0
11410119001,1,1986,37.05,85000000.0
11410119001,1,1993,38.41,170000000.0
11410119001,1,1994,42.84,85000000.0
11410119001,1,1994,46.7,140000000.0
11410120001,1,1987,26.96,88000000.0
11410120001,1,1986,30.15,228350000.0
11410120001,1,2002,60.36,224000000.0
11440101001,1,1976,47.16,264910000.0
11440101001,1,1976,47.16,267000000.0
11440101001,1,1977,160.81,418000000.0
11440101001,1,1976,59.05,336680000.0
11440107001,1,2012,14.6,95000000.0
11440107001,1,2012,17.72,95000000.0
11440107001,1,2012,17.07,95000000.0
11440107001,1,2012,16.43,95000000.0
11440107001,1,2012,16.25,95000000.0
11440107001,1,2012,14.59,95000000.0
11440107001,1,2012,18.85,95000000.0
11440109001,1,1983,59.29,412350000.0
11440111001,1,2002,50.6,240000000.0
11440111001,1,1991,48.3,282500000.0
